"id","user_id","device_name","device_id","created_at","is_active"
"1","1","Test GPS Tracker","test_gps_engine","2025-12-25 18:38:19","1"
"id","device_id","user_id","latitude","longitude","satellites","recorded_at"
"414","1","1","13.03839800","80.25027500","20","2026-01-10 02:49:10"
"415","1","1","13.03839100","80.25028200","20","2026-01-10 02:49:23"
"416","1","1","13.03839000","80.25029000","19","2026-01-10 02:49:36"
"417","1","1","13.03838800","80.25029000","19","2026-01-10 02:49:49"
"418","1","1","13.03838900","80.25029800","22","2026-01-10 02:50:02"
"419","1","1","13.03838900","80.25029800","22","2026-01-10 02:50:15"
"420","1","1","13.03839000","80.25029800","21","2026-01-10 02:50:28"
"421","1","1","13.03839100","80.25029800","21","2026-01-10 02:50:41"
"422","1","1","13.03839000","80.25029800","21","2026-01-10 02:50:55"
"423","1","1","13.03839100","80.25029800","21","2026-01-10 02:51:08"
"424","1","1","13.03839200","80.25029800","21","2026-01-10 02:51:21"
"425","1","1","13.03839300","80.25029800","22","2026-01-10 02:51:34"
"426","1","1","13.03839300","80.25029800","21","2026-01-10 02:51:47"
"427","1","1","13.03839400","80.25029800","22","2026-01-10 02:52:01"
"428","1","1","13.03839400","80.25029800","22","2026-01-10 02:52:14"
"429","1","1","13.03839400","80.25029800","22","2026-01-10 02:52:27"
"430","1","1","13.03839400","80.25029800","22","2026-01-10 02:52:40"
"431","1","1","13.03839400","80.25029800","22","2026-01-10 02:52:53"
"432","1","1","13.03839400","80.25029800","22","2026-01-10 02:53:07"
"433","1","1","13.03839400","80.25030500","21","2026-01-10 02:53:20"
"434","1","1","13.03839400","80.25030500","22","2026-01-10 02:53:33"
"435","1","1","13.03839300","80.25030500","21","2026-01-10 02:53:46"
"436","1","1","13.03839300","80.25030500","22","2026-01-10 02:53:59"
"437","1","1","13.03839400","80.25030500","22","2026-01-10 02:54:12"
"438","1","1","13.03844400","80.25027500","16","2026-01-10 02:54:26"
"439","1","1","13.03847500","80.25025200","19","2026-01-10 02:54:41"
"440","1","1","13.03891600","80.25032800","16","2026-01-10 02:54:54"
"441","1","1","13.03840800","80.25038900","18","2026-01-10 02:55:08"
"442","1","1","13.03842400","80.25040400","21","2026-01-10 02:55:22"
"443","1","1","13.03843200","80.25039700","21","2026-01-10 02:55:37"
"444","1","1","13.03843100","80.25038100","21","2026-01-10 02:55:51"
"445","1","1","13.03843000","80.25037400","23","2026-01-10 02:56:05"
"446","1","1","13.03843000","80.25037400","0","2026-01-10 02:56:18"
"447","1","1","13.03853100","80.25029000","20","2026-01-10 02:56:32"
"448","1","1","13.03843300","80.25028200","21","2026-01-10 02:56:46"
"449","1","1","13.03840500","80.25028200","21","2026-01-10 02:57:00"
"450","1","1","13.03839200","80.25029800","21","2026-01-10 02:57:13"
"451","1","1","13.03845400","80.25029000","17","2026-01-10 02:57:26"
"452","1","1","13.03847600","80.25024400","10","2026-01-10 03:02:03"
"453","1","1","13.03839600","80.25031300","20","2026-01-10 03:02:17"
"454","1","1","13.03840400","80.25030500","21","2026-01-10 03:02:30"
"455","1","1","13.03840100","80.25031300","22","2026-01-10 03:02:43"
"456","1","1","13.03839400","80.25031300","22","2026-01-10 03:02:56"
"457","1","1","13.03839200","80.25031300","22","2026-01-10 03:03:09"
"458","1","1","13.03839200","80.25031300","23","2026-01-10 03:03:22"
"459","1","1","13.03839100","80.25031300","23","2026-01-10 03:03:35"
"460","1","1","13.03838700","80.25031300","23","2026-01-10 03:03:48"
"461","1","1","13.03838700","80.25031300","22","2026-01-10 03:04:02"
"462","1","1","13.03875700","80.25032000","12","2026-01-10 03:04:15"
"463","1","1","13.03859700","80.25032800","0","2026-01-10 03:04:29"
"464","1","1","13.03860300","80.25025900","14","2026-01-10 04:05:11"
"465","1","1","13.03860300","80.25025900","0","2026-01-10 04:05:25"
"466","1","1","13.03857400","80.25026700","8","2026-01-10 05:01:25"
"467","1","1","13.03857400","80.25026700","0","2026-01-10 05:01:39"
"468","1","1","13.03857400","80.25026700","0","2026-01-10 05:01:53"
"469","1","1","13.03857400","80.25026700","0","2026-01-10 05:02:07"
"470","1","1","13.03857400","80.25026700","0","2026-01-10 05:02:20"
"471","1","1","13.03857400","80.25026700","0","2026-01-10 05:02:33"
"472","1","1","13.03857400","80.25026700","0","2026-01-10 05:02:47"
"473","1","1","13.03857400","80.25026700","0","2026-01-10 05:03:00"
"474","1","1","13.03857400","80.25026700","0","2026-01-10 05:03:14"
"475","1","1","13.03857400","80.25026700","0","2026-01-10 05:03:28"
"476","1","1","13.03857400","80.25026700","0","2026-01-10 05:03:42"
"477","1","1","13.03883300","80.25028200","11","2026-01-10 05:03:55"
"478","1","1","13.03859200","80.25025900","15","2026-01-10 05:04:08"
"479","1","1","13.03857000","80.25022900","14","2026-01-10 05:04:22"
"480","1","1","13.03854300","80.25020600","14","2026-01-10 05:04:36"
"481","1","1","13.03851000","80.25014500","0","2026-01-10 05:04:49"
"482","1","1","13.03851000","80.25014500","0","2026-01-10 05:05:03"
"483","1","1","13.03867200","80.25003800","10","2026-01-10 05:05:17"
"484","1","1","13.03868600","80.25022100","14","2026-01-10 05:05:30"
"485","1","1","13.03867100","80.25025200","13","2026-01-10 05:05:44"
"486","1","1","13.03867100","80.25025200","0","2026-01-10 05:05:57"
"487","1","1","13.03865200","80.25032000","11","2026-01-10 05:06:11"
"488","1","1","13.03865200","80.25032000","0","2026-01-10 05:06:24"
"489","1","1","13.03848600","80.25052600","6","2026-01-10 05:06:38"
"490","1","1","13.03847500","80.25065600","13","2026-01-10 05:06:51"
"491","1","1","13.03855500","80.25053400","15","2026-01-10 05:07:05"
"492","1","1","13.03858500","80.25057200","12","2026-01-10 05:07:18"
"493","1","1","13.03858200","80.25052600","14","2026-01-10 05:07:31"
"494","1","1","13.03862600","80.25051100","13","2026-01-10 05:07:45"
"495","1","1","13.03858700","80.25045800","13","2026-01-10 05:07:58"
"496","1","1","13.03858700","80.25045800","0","2026-01-10 05:08:12"
"497","1","1","13.03856700","80.25050400","11","2026-01-10 05:08:26"
"498","1","1","13.03858200","80.25051900","12","2026-01-10 05:08:43"
"499","1","1","13.03867100","80.25039700","7","2026-01-10 05:08:57"
"500","1","1","13.03864800","80.25040400","10","2026-01-10 05:09:10"
"501","1","1","13.03869400","80.25045000","0","2026-01-10 05:09:23"
"502","1","1","13.03860100","80.25033600","6","2026-01-10 05:09:37"
"503","1","1","13.03870600","80.25029800","13","2026-01-10 05:09:52"
"504","1","1","13.03875500","80.25032800","16","2026-01-10 05:10:05"
"505","1","1","13.03878100","80.25032000","16","2026-01-10 05:10:19"
"506","1","1","13.03875400","80.25030500","16","2026-01-10 05:10:34"
"507","1","1","13.03873200","80.25031300","13","2026-01-10 05:10:48"
"508","1","1","13.03870700","80.25031300","14","2026-01-10 05:11:02"
"509","1","1","13.03866700","80.25035100","14","2026-01-10 05:11:44"
"510","1","1","13.03865000","80.25033600","15","2026-01-10 05:11:57"
"511","1","1","13.03863900","80.25033600","15","2026-01-10 05:12:10"
"512","1","1","13.03864900","80.25032800","16","2026-01-10 05:12:23"
"513","1","1","13.03864300","80.25032000","13","2026-01-10 05:12:36"
"514","1","1","13.03862000","80.25029800","15","2026-01-10 05:12:50"
"515","1","1","13.03860800","80.25029800","15","2026-01-10 05:13:04"
"516","1","1","13.03861700","80.25025900","18","2026-01-10 05:13:17"
"517","1","1","13.03860000","80.25025200","17","2026-01-10 05:13:31"
"518","1","1","13.03859000","80.25026700","15","2026-01-10 05:13:46"
"519","1","1","13.03858500","80.25026700","15","2026-01-10 05:13:59"
"520","1","1","13.03859500","80.25028200","15","2026-01-10 05:14:12"
"521","1","1","13.03858200","80.25028200","16","2026-01-10 05:14:26"
"522","1","1","13.03857800","80.25028200","16","2026-01-10 05:14:39"
"523","1","1","13.03857200","80.25028200","16","2026-01-10 05:14:53"
